,file,ut_epoch,ra,dec,jd,bjd
115,V_535__05.fits,2012-12-27 10:21:49.43,07:11:40.00,+01:11:05.30,2456288.9318221067,2456288.937746737
116,SV_Eri_06.fits,2012-12-28 03:49:38.71,03:12:34.90,-11:22:38.80,2456289.6594758104,2456289.6631478155
117,VX_Her_10.fits,2013-07-24 06:17:40.04,16:31:29.70,+18:16:16.0,2456497.7622689814,2456497.7653843383
118,TT_Lyn_09.fits,2012-12-27 09:23:36.66,09:03:54.10,+44:25:47.30,2456288.8913965276,2456288.8966110772
119,AV_Peg_01.fits,2013-07-24 08:46:04.27,21:52:45.50,+22:34:05.70,2456497.865327199,2456497.86998138
120,V445_O_02.fits,2013-07-25 03:57:25.98,16:25:34.80,-06:38:08.20,2456498.6648840276,2456498.668804622
121,X_Ari__01.fits,2012-12-22 03:23:15.78,03:09:15.80,+10:24:39.60,2456283.641154861,2456283.646060376
122,RU_Psc_06.fits,2012-12-28 02:56:06.72,01:15:09.70,+24:24:00.10,2456289.6223,2456289.624947806
123,TW_Lyn_02.fits,2012-12-22 08:01:00.62,07:45:57.50,+42:59:05.10,2456283.8340349537,2456283.839778716
124,RU_Psc_10.fits,2013-07-25 09:15:31.21,01:15:14.60,+24:24:12.80,2456498.8857778935,2456498.887111562
125,VX_Her_26.fits,2013-07-26 07:20:28.89,16:31:35.50,+18:16:18.70,2456499.8058899306,2456499.8088733624
126,AR_Per_09.fits,2012-12-22 05:57:06.72,04:18:12.20,+47:20:01.0,2456283.7479944443,2456283.7535911626
127,RR_Leo_07.fits,2012-12-23 12:50:58.42,10:08:30.60,+23:50:10.30,2456285.0353983794,2456285.039469216
128,RR_Lyr_02.fits,2013-07-25 08:39:07.68,19:26:01.60,+42:43:42.70,2456498.8605055558,2456498.8639035556
129,TU_UMa_02.fits,2012-12-23 11:00:30.12,11:30:26.80,+29:54:33.50,2456284.9586819443,2456284.961326395
130,T_Sex__05.fits,2012-12-24 11:16:10.38,09:54:13.20,+01:55:04.70,2456285.969564583,2456285.973374724
131,VX_Her_17.fits,2013-07-26 04:33:16.22,16:31:23.30,+18:16:15.10,2456499.689771065,2456499.6927583674
132,RU_Psc_21.fits,2013-07-26 11:06:55.38,01:15:13.80,+24:24:43.60,2456499.9631409724,2456499.964575627
133,SV_Eri_01.fits,2012-12-24 05:38:07.50,03:12:39.40,-11:22:55.0,2456285.734809028,2456285.738759691
134,V_535__02.fits,2012-12-25 06:12:41.12,07:11:32.70,+01:10:56.10,2456286.758809259,2456286.7646839004
135,VX_Her_01.fits,2013-07-22 04:28:45.77,16:31:22.80,+18:16:16.0,2456495.6866408563,2456495.6898871553
