Unnamed: 0,file,ut_epoch,ra,dec,jd,bjd,star_match,spec_bjd,photo_bjd,T_final,err_tot,phasemod,baseline_time,baseline_div_period
97,RU_Psc_07.fits,2012-12-28 04:29:09.36,01:15:15.10,+24:24:00.10,2456289.686913889,2456289.6895575654,RU Psc,2456289.6895575654,2456602.7204287453,,7.008262170222624e-06,,-313.03087117988616,
77,RU_Psc_08.fits,2012-12-28 04:45:11.48,01:15:16.80,+24:24:00.10,2456289.698049537,2456289.7006927584,RU Psc,2456289.7006927584,2456602.7204287453,,7.008262170222624e-06,,-313.01973598683253,
62,RU_Psc_09.fits,2012-12-28 05:05:15.30,01:15:17.60,+24:24:00.10,2456289.711982639,2456289.7146248426,RU Psc,2456289.7146248426,2456602.7204287453,,7.008262170222624e-06,,-313.0058039026335,
124,RU_Psc_10.fits,2013-07-25 09:15:31.21,01:15:14.60,+24:24:12.80,2456498.885777893,2456498.887111562,RU Psc,2456498.887111562,2456602.7204287453,,7.008262170222624e-06,,-103.83331718342379,
96,RU_Psc_11.fits,2013-07-25 09:34:19.36,01:15:15.40,+24:24:15.90,2456498.898835185,2456498.9001697702,RU Psc,2456498.9001697702,2456602.7204287453,,7.008262170222624e-06,,-103.82025897502899,
86,RU_Psc_12.fits,2013-07-25 09:52:26.48,01:15:15.20,+24:24:15.90,2456498.9114175932,2456498.9127534376,RU Psc,2456498.9127534376,2456602.7204287453,,7.008262170222624e-06,,-103.80767530761659,
52,RU_Psc_13.fits,2013-07-25 10:39:59.68,01:15:14.10,+24:24:14.20,2456498.944440741,2456498.94578011,RU Psc,2456498.94578011,2456602.7204287453,,7.008262170222624e-06,,-103.77464863518253,
26,RU_Psc_14.fits,2013-07-25 10:58:13.10,01:15:14.30,+24:24:16.30,2456498.957096065,2456498.958436532,RU Psc,2456498.958436532,2456602.7204287453,,7.008262170222624e-06,,-103.76199221331626,
16,RU_Psc_15.fits,2013-07-26 09:16:07.24,01:15:15.70,+24:24:41.0,2456499.886194908,2456499.887621676,RU Psc,2456499.887621676,2456602.7204287453,,7.008262170222624e-06,,-102.83280706917867,
153,RU_Psc_16.fits,2013-07-26 09:35:26.65,01:15:14.20,+24:24:42.30,2456499.8996140044,2456499.9010425517,RU Psc,2456499.9010425517,2456602.7204287453,,7.008262170222624e-06,,-102.81938619352877,
143,RU_Psc_17.fits,2013-07-26 09:53:30.55,01:15:14.00,+24:24:42.30,2456499.912159144,2456499.913588945,RU Psc,2456499.913588945,2456602.7204287453,,7.008262170222624e-06,,-102.80683980043977,
38,RU_Psc_18.fits,2013-07-26 10:11:37.48,01:15:14.40,+24:24:42.30,2456499.924739352,2456499.9261701982,RU Psc,2456499.9261701982,2456602.7204287453,,7.008262170222624e-06,,-102.79425854701549,
6,RU_Psc_19.fits,2013-07-26 10:30:45.35,01:15:13.20,+24:24:42.30,2456499.938024884,2456499.939457403,RU Psc,2456499.939457403,2456602.7204287453,,7.008262170222624e-06,,-102.78097134223208,
168,RU_Psc_20.fits,2013-07-26 10:48:50.86,01:15:14.00,+24:24:42.70,2456499.950588657,2456499.9520220733,RU Psc,2456499.9520220733,2456602.7204287453,,7.008262170222624e-06,,-102.76840667193756,
132,RU_Psc_21.fits,2013-07-26 11:06:55.38,01:15:13.80,+24:24:43.60,2456499.9631409724,2456499.964575627,RU Psc,2456499.964575627,2456602.7204287453,,7.008262170222624e-06,,-102.75585311837494,
31,RU_Psc_22.fits,2013-07-26 11:25:38.24,01:15:13.70,+24:24:44.90,2456499.976137037,2456499.977572931,RU Psc,2456499.977572931,2456602.7204287453,,7.008262170222624e-06,,-102.74285581428558,
160,RW_Ari_01.fits,2012-12-27 02:09:44.74,02:16:47.10,+17:30:57.10,2456288.5901011573,2456288.593887832,RW Ari,2456288.593887832,2456313.5553936977,0.35443437,1.5980600098411443e-05,0.5736870392163382,-24.96150586567819,-70.42631296078366
1,RW_Ari_02.fits,2012-12-27 03:07:05.85,02:16:48.20,+17:30:31.60,2456288.62992882,2456288.6337122745,RW Ari,2456288.6337122745,2456313.5553936977,0.35443437,1.5980600098411443e-05,0.6860475940697199,-24.921681423205882,-70.31395240593028
43,RW_Ari_03.fits,2012-12-27 04:04:11.28,02:16:49.40,+17:30:52.70,2456288.669575,2456288.673355586,RW Ari,2456288.673355586,2456313.5553936977,0.35443437,1.5980600098411443e-05,0.7978971063148776,-24.882038111798465,-70.20210289368512
59,RW_Ari_04.fits,2012-12-28 02:01:29.47,02:16:46.80,+17:30:55.40,2456289.584368866,2456289.58807013,RW Ari,2456289.58807013,2456313.5553936977,0.35443437,1.5980600098411443e-05,0.3786698007919824,-23.967323567718267,-67.62133019920802
81,RW_Ari_05.fits,2012-12-28 03:15:11.67,02:16:48.10,+17:30:55.40,2456289.6355517358,2456289.6392490054,RW Ari,2456289.6392490054,2456313.5553936977,0.35443437,1.5980600098411443e-05,0.5230657164004668,-23.916144692339003,-67.47693428359953
133,SV_Eri_01.fits,2012-12-24 05:38:07.50,03:12:39.40,-11:22:55.0,2456285.734809028,2456285.738759691,SV Eri,2456285.738759691,2456580.0381616033,0.7138098,5.98917050087646e-06,0.7061341657504272,-294.29940191237256,-412.2938658342496
33,SV_Eri_02.fits,2012-12-25 03:51:13.02,03:12:34.20,-11:22:43.60,2456286.660567361,2456286.664452649,SV Eri,2456286.664452649,2456580.0381616033,0.7138098,5.98917050087646e-06,0.002968362046999573,-293.37370895408094,-410.997031637953
9,SV_Eri_03.fits,2012-12-27 02:45:25.38,03:12:34.70,-11:22:34.0,2456288.614877084,2456288.618624422,SV Eri,2456288.618624422,2456580.0381616033,0.7138098,5.98917050087646e-06,0.7406328947847101,-291.41953718150035,-408.2593671052153
73,SV_Eri_04.fits,2012-12-27 05:20:13.58,03:12:37.40,-11:22:38.80,2456288.722379398,2456288.7261196985,SV Eri,2456288.7261196985,2456580.0381616033,0.7138098,5.98917050087646e-06,0.8912266197840495,-291.3120419047773,-408.10877338021595
70,SV_Eri_05.fits,2012-12-28 02:36:27.95,03:12:33.60,-11:22:41.40,2456289.6086568288,2456289.6123321117,SV Eri,2456289.6123321117,2456580.0381616033,0.7138098,5.98917050087646e-06,0.1327512012611578,-290.42582949157804,-406.86724879873884
116,SV_Eri_06.fits,2012-12-28 03:49:38.71,03:12:34.90,-11:22:38.80,2456289.6594758104,2456289.6631478155,SV Eri,2456289.6631478155,2456580.0381616033,0.7138098,5.98917050087646e-06,0.20394061868438484,-290.37501378776506,-406.7960593813156
41,TT_Lyn_01.fits,2012-12-23 07:48:05.21,09:03:54.00,+44:26:19.80,2456284.825060301,2456284.830085214,TT Lyn,2456284.830085214,2456606.768747597,0.59743006875,2.7978248385347296e-06,0.127453701209447,-321.93866238277406,-538.8725462987906
137,TT_Lyn_02.fits,2012-12-23 08:01:35.64,09:03:53.80,+44:26:29.90,2456284.8344402784,2456284.839465646,TT Lyn,2456284.839465646,2456606.768747597,0.59743006875,2.7978248385347296e-06,0.14315500641055223,-321.92928195092827,-538.8568449935894
161,TT_Lyn_03.fits,2012-12-23 09:21:11.33,09:03:54.30,+44:26:06.20,2456284.8897144683,2456284.8947425974,TT Lyn,2456284.8947425974,2456606.768747597,0.59743006875,2.7978248385347296e-06,0.23567956146450797,-321.87400499964133,-538.7643204385355
107,TT_Lyn_04.fits,2012-12-23 10:28:56.26,09:03:55.30,+44:25:50.40,2456284.9367622687,2456284.941792603,TT Lyn,2456284.941792603,2456606.768747597,0.59743006875,2.7978248385347296e-06,0.31443355832095676,-321.826954993885,-538.685566441679
109,TT_Lyn_05.fits,2012-12-23 10:39:55.90,09:03:55.60,+44:25:50.80,2456284.944396991,2456284.949427641,TT Lyn,2456284.949427641,2456606.768747597,0.59743006875,2.7978248385347296e-06,0.32721336014174085,-321.8193199560046,-538.6727866398583
61,TT_Lyn_06.fits,2012-12-24 10:42:02.60,09:03:56.70,+44:26:14.10,2456285.9458634257,2456285.950942328,TT Lyn,2456285.950942328,2456606.768747597,0.59743006875,2.7978248385347296e-06,0.003584770938573456,-320.81780526880175,-536.9964152290614
80,TT_Lyn_07.fits,2012-12-24 11:41:40.68,09:04:00.00,+44:25:58.70,2456285.9872763893,2456285.992356732,TT Lyn,2456285.992356732,2456606.768747597,0.59743006875,2.7978248385347296e-06,0.07290569398639946,-320.7763908649795,-536.9270943060136
99,TT_Lyn_08.fits,2012-12-27 07:38:01.68,09:03:54.30,+44:25:57.0,2456288.818075,2456288.8232862214,TT Lyn,2456288.8232862214,2456606.768747597,0.59743006875,2.7978248385347296e-06,0.8114175925651352,-317.94546137563884,-532.1885824074349
118,TT_Lyn_09.fits,2012-12-27 09:23:36.66,09:03:54.10,+44:25:47.30,2456288.891396528,2456288.896611077,TT Lyn,2456288.896611077,2456606.768747597,0.59743006875,2.7978248385347296e-06,0.9341513805890145,-317.87213652022183,-532.065848619411
66,TT_Lyn_10.fits,2012-12-28 09:14:45.00,09:03:54.70,+44:26:22.90,2456289.8852430554,2456289.8905001674,TT Lyn,2456289.8905001674,2456606.768747597,0.59743006875,2.7978248385347296e-06,0.5977587927244485,-316.87824742961675,-530.4022412072756
57,TU_UMa_01.fits,2012-12-21 12:41:08.39,11:30:28.50,+29:54:28.70,2456283.0285693286,2456283.031046872,TU UMa,2456283.031046872,2456679.732558084,0.55765563305,1.4899991772622306e-05,0.6263713638659283,-396.70151121215895,-711.3736286361341
129,TU_UMa_02.fits,2012-12-23 11:00:30.12,11:30:26.80,+29:54:33.50,2456284.9586819443,2456284.961326395,TU UMa,2456284.961326395,2456679.732558084,0.55765563305,1.4899991772622306e-05,0.08778986075606099,-394.7712316890247,-707.9122101392439
