,Unnamed: 0,file,ut_epoch,ra,dec,jd,bjd_x,star_match,spec_bjd,photo_bjd,T_final,err_tot,phasemod,baseline_time,baseline_div_period,my_spec_bjd,my_phase,spec_file,#,filenames,mjd,hjd,bjd_y,elapsed_bjd_since_spec_01,curve,period,GCVS,Note,ndl_spec_bjd,number_cur,star_name,#Name,Period,Mag_Max,Mag_Min,Amp,Ave(M),Ave(I),Epoch_Max,Epoch_Min,Factor,Method,Order,Npts,Sigmaclip,Dates,Phases,ndl_phase,ndl_time_baselines,ndl_baseline_div_period,error_my_phase
12,79,AR_Per_13.fits,2012-12-24 06:25:43.06,04:18:12.60,+47:20:02.30,2456285.76785949,2456285.77339128,AR Per,2456285.77339128,2456574.74991518,0.4255504703,6.505386482068921e-06,0.9347796132869916,-288.9765238999389,-679.065220386713,56285.77339127986,0.9347796132869916,AR_Per_13.fits,19,AR_Per_13.fits,56285.267859490705,56285.772619178395,56285.7733823725,3.091115148,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56285.7733823725,19,AR_Per,AR_Per_E.cur_19,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1,Median,3,100,None,2456285.7733823727,0.93075529,0.93075529,2400252.3810226275,5640344.307649277,0.004417581705146875
13,98,AR_Per_14.fits,2012-12-24 06:48:31.97,04:18:13.60,+47:20:02.30,2456285.783703356,2456285.7892347286,AR Per,2456285.7892347286,2456574.74991518,0.4255504703,6.505386482068921e-06,0.972010094276925,-288.9606804512441,-679.0279899057231,56285.78923472855,0.972010094276925,AR_Per_14.fits,26,AR_Per_14.fits,56285.2837033565,56285.7884625016,56285.7892256958,3.1069584712,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56285.7892256958,26,AR_Per,AR_Per_E.cur_26,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1,Median,3,100,None,2456285.789225696,0.96798546,0.96798546,2400252.3651793045,5640344.270419111,0.004417339506479123
14,116,AR_Per_15.fits,2012-12-25 04:16:23.67,04:18:08.20,+47:20:06.30,2456286.6780517357,2456286.6835516985,AR Per,2456286.6835516985,2456574.74991518,0.4255504703,6.505386482068921e-06,0.07356333489394729,-288.06636348133907,-676.9264366651059,56286.68355169846,0.07356333489394729,AR_Per_15.fits,27,AR_Per_15.fits,56286.178051736104,56286.6827799996,56286.683543197,4.0012759724,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56286.683543197,27,AR_Per,AR_Per_E.cur_27,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1,Median,3,100,None,2456286.683543197,0.06953889,0.06953889,2400251.4708618033,5640342.168865679,0.004403668090436264
15,3,AR_Per_16.fits,2012-12-28 05:51:42.70,04:18:11.80,+47:20:03.20,2456289.7442442128,2456289.749630504,AR Per,2456289.749630504,2456574.74991518,0.4255504703,6.505386482068921e-06,0.27853435216843536,-285.00028467644006,-669.7214656478317,56289.74963050382,0.27853435216843536,AR_Per_16.fits,0,AR_Per_16.fits,56289.244244213,56289.7488577183,56289.7496209269,7.0673537024,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56289.7496209269,0,AR_Per,AR_Per_E.cur_0,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1,Median,3,100,None,2456289.749620927,0.27450376,0.27450376,2400248.404784073,5640334.963900814,0.004356796969376789
16,86,AV_Peg_01.fits,2013-07-24 08:46:04.27,21:52:45.50,+22:34:05.70,2456497.865327199,2456497.86998138,AV Peg,2456497.86998138,2456593.58904773,0.3903816816,6.505386482068921e-06,0.8064602891205368,-95.7190663497895,-245.19353971087943,56497.86998138018,0.8064602891205368,AV_Peg_01.fits,12,AV_Peg_01.fits,56497.3653271991,56497.869205874806,56497.8699875234,0.0,AV_Peg_E.cur,0.39038150961651297,0.3903747,“Picked East just because they look nearly the same”,56497.8699875234,12,AV_Peg,AV_Peg_E.cur_12,0.39038150961651297,14.978,14.177,0.8009999999999999,14.655999999999999,14.712,2455123.410307,2455123.734648,1,Median,3,100,None,2456497.8699875236,0.81142905,0.81142905,2398625.5403194767,6144311.349878585,0.0015950787387257843
17,33,AV_Peg_02.fits,2013-07-24 10:01:28.47,21:52:46.90,+22:33:34.50,2456497.917690625,2456497.9223477743,AV Peg,2456497.9223477743,2456593.58904773,0.3903816816,6.505386482068921e-06,0.9406018140745688,-95.66669995570557,-245.05939818592546,56497.92234777426,0.9406018140745688,AV_Peg_02.fits,6,AV_Peg_02.fits,56497.417690625,56497.9215718991,56497.922353549,0.052366025700000006,AV_Peg_E.cur,0.39038150961651297,0.3903747,“Picked East just because they look nearly the same”,56497.922353549,6,AV_Peg,AV_Peg_E.cur_6,0.39038150961651297,14.978,14.177,0.8009999999999999,14.655999999999999,14.712,2455123.410307,2455123.734648,1,Median,3,100,None,2456497.922353549,0.94556969,0.94556969,2398625.487953451,6144311.2157379445,0.0015942060962626644
18,65,AV_Peg_03.fits,2013-07-24 10:47:39.05,21:52:49.90,+22:33:34.50,2456497.949757524,2456497.954415798,AV Peg,2456497.954415798,2456593.58904773,0.3903816816,6.505386482068921e-06,0.022747123230345775,-95.63463193178177,-244.97725287676963,56497.95441579819,0.022747123230345775,AV_Peg_03.fits,10,AV_Peg_03.fits,56497.4497575232,56497.9536403771,56497.954422027804,0.0844345045,AV_Peg_E.cur,0.39038150961651297,0.3903747,“Picked East just because they look nearly the same”,56497.954422027804,10,AV_Peg,AV_Peg_E.cur_10,0.39038150961651297,14.978,14.177,0.8009999999999999,14.655999999999999,14.712,2455123.410307,2455123.734648,1,Median,3,100,None,2456497.9544220283,0.027716200000000003,0.027716200000000003,2398625.455884972,6144311.133591434,0.0015936717092789167
19,9,AV_Peg_04.fits,2013-07-25 07:39:22.39,21:52:44.90,+22:33:31.40,2456498.819009144,2456498.8237113687,AV Peg,2456498.8237113687,2456593.58904773,0.3903816816,6.505386482068921e-06,0.24953083646931876,-94.76533636124806,-242.75046916353068,56498.82371136872,0.24953083646931876,AV_Peg_04.fits,2,AV_Peg_04.fits,56498.319009143495,56498.8229348916,56498.8237165651,0.9537290418000001,AV_Peg_E.cur,0.39038150961651297,0.3903747,“Picked East just because they look nearly the same”,56498.8237165651,2,AV_Peg,AV_Peg_E.cur_2,0.39038150961651297,14.978,14.177,0.8009999999999999,14.655999999999999,14.712,2455123.410307,2455123.734648,1,Median,3,100,None,2456498.8237165646,0.25449825,0.25449825,2398624.586590435,6144308.906809387,0.001579185620612321
20,19,AV_Peg_05.fits,2013-07-25 08:16:03.93,21:52:44.90,+22:34:06.10,2456498.844489931,2456498.8491927776,AV Peg,2456498.8491927776,2456593.58904773,0.3903816816,6.505386482068921e-06,0.3148039015966333,-94.73985495232046,-242.68519609840337,56498.84919277765,0.3148039015966333,AV_Peg_05.fits,3,AV_Peg_05.fits,56498.3444899306,56498.848416928,56498.8491986022,0.9792110789,AV_Peg_E.cur,0.39038150961651297,0.3903747,“Picked East just because they look nearly the same”,56498.8491986022,3,AV_Peg,AV_Peg_E.cur_3,0.39038150961651297,14.978,14.177,0.8009999999999999,14.655999999999999,14.712,2455123.410307,2455123.734648,1,Median,3,100,None,2456498.8491986026,0.31977295,0.31977295,2398624.561108398,6144308.8415346835,0.0015787609940967984
21,107,AV_Peg_06.fits,2013-07-25 08:51:36.36,21:52:44.90,+22:34:06.10,2456498.869170833,2456498.873874892,AV Peg,2456498.873874892,2456593.58904773,0.3903816816,6.505386482068921e-06,0.37802949728873614,-94.715172837954,-242.6219705027113,56498.873874892015,0.37802949728873614,AV_Peg_06.fits,14,AV_Peg_06.fits,56498.3691708333,56498.8730990356,56498.8738807104,1.003893187,AV_Peg_E.cur,0.39038150961651297,0.3903747,“Picked East just because they look nearly the same”,56498.8738807104,14,AV_Peg,AV_Peg_E.cur_14,0.39038150961651297,14.978,14.177,0.8009999999999999,14.655999999999999,14.712,2455123.410307,2455123.734648,1,Median,3,100,None,2456498.8738807105,0.38299856,0.38299856,2398624.5364262895,6144308.778309076,0.0015783496871612625
