orig_spec_file_name,plate,mjd,fiberid,feh_sspp_single,error_feh_sspp_single,feh_rrlfe_single,error_feh_rrlfe_single
spec-0449-51900-0103g002.dat,0449,51900,0103,-2.165,0.026,-2.005240618792792,0.0104384700309072
spec-0453-51915-0239g001.dat,0453,51915,0239,,,-1.1807370339979453,0.009965785751651
spec-0457-51901-0068g001.dat,0457,51901,0068,-0.866,0.045,-1.6061655309285996,0.0122128634273969
spec-0457-51901-0612g001.dat,0457,51901,0612,,,-1320.001093339772,-999.0
spec-0458-51929-0149g001.dat,0458,51929,0149,,,-1320.001093339772,-999.0
spec-0458-51929-0421g001.dat,0458,51929,0421,-1.412,0.064,-1.917368105752512,0.0106051876800115
spec-0465-51910-0411g001.dat,0465,51910,0411,-2.098,0.033,-2.587885208709389,0.0081845660172335
spec-0465-51910-0411g002.dat,0465,51910,0411,-2.268,0.031,-2.588774140116448,0.0089976764658386
spec-0465-51910-0605g001.dat,0465,51910,0605,,,-1.3703379809891263,0.0115715651241025
spec-0465-51910-0605g002.dat,0465,51910,0605,,,-1.2254717805735371,0.0102941211910041
spec-0467-51901-0211g001.dat,0467,51901,0211,-1.154,0.066,-0.9333982174688242,0.0109686993789159
spec-0469-51913-0042g001.dat,0469,51913,0042,,,-1.5262447154086662,0.0109097046998604
spec-0469-51913-0042g003.dat,0469,51913,0042,-1.272,0.005,-1.418146145534224,0.0101522076945486
spec-0470-51929-0006g001.dat,0470,51929,0006,,,-1.651068383072977,0.0107831385111785
spec-0470-51929-0006g002.dat,0470,51929,0006,-1.511,0.054,-0.0314670500550702,0.0127490886584084
spec-0470-51929-0326g001.dat,0470,51929,0326,,,-1.3796686654627175,0.0122022950055675
spec-0470-51929-0326g002.dat,0470,51929,0326,-1.243,0.066,-1.3476553611971762,0.0113246110720503
spec-0470-51929-0530g002.dat,0470,51929,0530,,,-1.3313531747386145,0.0097194900931434
spec-0472-51955-0245g001.dat,0472,51955,0245,-1.278,0.038,-1.4428168698254022,0.0098324586984346
spec-0473-51929-0132g001.dat,0473,51929,0132,,,-2.2022853385060124,0.0117173922188533
spec-0473-51929-0132g002.dat,0473,51929,0132,,,-1320.001093339772,-999.0
spec-0473-51929-0132g003.dat,0473,51929,0132,-2.114,0.042,-2.3938587848367208,0.0091593827836597
spec-0473-51929-0369g001.dat,0473,51929,0369,,,-1.6853965687863997,0.0111704259577263
spec-0473-51929-0369g002.dat,0473,51929,0369,,,-1.3125384619219531,0.0109308882882633
spec-0473-51929-0369g003.dat,0473,51929,0369,-1.183,0.039,-1.6951243503894409,0.010808552828371
spec-0473-51929-0369g004.dat,0473,51929,0369,,,-1.3929421217139597,0.0101886144479049
spec-0473-51929-0369g005.dat,0473,51929,0369,-1.179,0.008,-1.8122246987992596,0.0111488862801998
spec-0474-52000-0358g001.dat,0474,52000,0358,-1.919,0.007,-1320.001093339772,-999.0
spec-0474-52000-0358g002.dat,0474,52000,0358,-2.046,0.042,-2.0416995320075952,0.0111479073008437
spec-0476-52314-0263g001.dat,0476,52314,0263,,,-1320.001093339772,-999.0
spec-0477-52026-0508g001.dat,0477,52026,0508,,,-1.78640437234484,0.0117624077306783
spec-0480-51989-0313g001.dat,0480,51989,0313,,,-1320.001093339772,-999.0
spec-0480-51989-0313g002.dat,0480,51989,0313,-2.013,0.116,-1.372978125483119,0.0121076669171265
spec-0484-51907-0399g001.dat,0484,51907,0399,,,-1.5831038662333414,0.0101498856642881
spec-0484-51907-0399g002.dat,0484,51907,0399,,,-1.4314967572182924,0.0098727550831252
spec-0485-51909-0107g001.dat,0485,51909,0107,,,-0.8674613602632979,0.0109446279866118
spec-0485-51909-0107g002.dat,0485,51909,0107,,,-1.6531273301230187,0.0100915832402237
spec-0485-51909-0138g002.dat,0485,51909,0138,,,-1.840175776767634,0.0112934498316019
spec-0485-51909-0138g003.dat,0485,51909,0138,,,-1.7864267687573094,0.0110429813490211
spec-0488-51914-0409g001.dat,0488,51914,0409,-1.289,0.054,-1.3976807536981857,0.0101982630465046
spec-0488-51914-0409g002.dat,0488,51914,0409,-0.797,0.03,-1.2697533881184764,0.0095592933187477
spec-0488-51914-0409g003.dat,0488,51914,0409,-1.036,0.088,-1.748574679572665,0.010854264832392
spec-0490-51929-0124g001.dat,0490,51929,0124,-1.229,0.012,-1.5625069375232692,0.0106897280209904
spec-0490-51929-0124g002.dat,0490,51929,0124,,,-1.6246139216177702,0.0114860508669516
spec-0492-51955-0501g001.dat,0492,51955,0501,-1.236,0.049,-1.4534496959723977,0.011396325283823
spec-0492-51955-0501g003.dat,0492,51955,0501,-1.24,0.034,-1.8327473438762796,0.0105210440966887
spec-0495-51988-0510g001.dat,0495,51988,0510,-1.452,0.122,-2.328078527756986,0.0088050320671807
spec-0501-52235-0573g001.dat,0501,52235,0573,,,-1.9555141634008744,0.0112938871173103
spec-0501-52235-0573g002.dat,0501,52235,0573,-1.56,0.077,-2.0468759830975145,0.0107026776532434
spec-0504-52316-0620g001.dat,0504,52316,0620,-1.391,0.003,-2.1115103002182627,0.0097745599412309
spec-0504-52316-0620g002.dat,0504,52316,0620,-1.557,0.022,-1.5545352084242912,0.0109547575469143
spec-0505-52317-0207g001.dat,0505,52317,0207,-1.066,0.095,-1.216769609680245,0.0107184357340894
spec-0505-52317-0417g001.dat,0505,52317,0417,-1.494,0.007,-1.365917701531732,0.0110400536246083
spec-0505-52317-0629g001.dat,0505,52317,0629,,,-1.5084351381468066,0.0106638942232977
spec-0505-52317-0639g001.dat,0505,52317,0639,,,-1.6396393319901277,0.0101058317112864
spec-0505-52317-0639g002.dat,0505,52317,0639,-1.224,0.09,-1.0831729639549763,0.0110792489421619
spec-0505-52317-0639g003.dat,0505,52317,0639,,,-1.191390605076655,0.0127504954482318
spec-0507-52353-0007g001.dat,0507,52353,0007,,,-1.920389565329116,0.0141945567187021
spec-0507-52353-0518g001.dat,0507,52353,0518,-1.492,0.055,-1.2990464138658044,0.0098992100200444
spec-0507-52353-0591g001.dat,0507,52353,0591,-0.82,0.02,-1.4399774090568145,0.0098134842055281
spec-0508-52366-0214g002.dat,0508,52366,0214,-1.254,0.033,-1.1630863174648776,0.0104622998403258
spec-0509-52374-0117g001.dat,0509,52374,0117,,,-1.1549267053001562,0.0112333368884886
spec-0510-52381-0381g001.dat,0510,52381,0381,,,-2.7453214807110204,0.0110083765151653
spec-0514-51994-0047g001.dat,0514,51994,0047,-1.833,0.041,-2.0709871576391725,0.0099933819358062
spec-0514-51994-0603g001.dat,0514,51994,0603,,,-1.8872432898359357,0.0104104928641083
spec-0515-52051-0593g001.dat,0515,52051,0593,-1.45,0.007,-1.5134408361298697,0.0222762501181649
spec-0517-52024-0164g001.dat,0517,52024,0164,,,-1.574540592055404,0.0102328624910786
spec-0517-52024-0164g002.dat,0517,52024,0164,-1.349,0.018,-1.54955272853379,0.0099513868015771
spec-0518-52282-0589g001.dat,0518,52282,0589,-1.363,0.066,-1.5558149200752285,0.0117345887229051
spec-0518-52282-0635g001.dat,0518,52282,0635,,,-1.6426457404895185,0.0114025532561294
spec-0520-52288-0164g001.dat,0520,52288,0164,-1.148,0.092,-1.637025095979955,0.0105587566178236
spec-0520-52288-0183g002.dat,0520,52288,0183,-1.705,0.026,-1.362807975982433,0.0115775171229842
spec-0520-52288-0183g003.dat,0520,52288,0183,,,-1.6324567616724184,0.0112436998464241
spec-0521-52326-0521g001.dat,0521,52326,0521,-1.715,0.104,-0.5221136086458078,0.0111735798797245
spec-0521-52326-0521g002.dat,0521,52326,0521,-1.469,0.053,-0.8946781492445468,0.0149150591291087
spec-0522-52024-0313g001.dat,0522,52024,0313,,,-1.3815321593204877,0.0101274293014173
spec-0523-52026-0574g001.dat,0523,52026,0574,-1.744,0.056,-2.1893840708988326,0.0093369297888323
spec-0523-52026-0574g002.dat,0523,52026,0574,,,-1320.001093339772,-999.0
spec-0524-52027-0471g001.dat,0524,52027,0471,-2.423,0.046,-2.044378594668139,0.0218192840212551
spec-0525-52295-0422g003.dat,0525,52295,0422,,,-1320.001093339772,-999.0
spec-0527-52342-0221g001.dat,0527,52342,0221,,,-2.143746879771816,0.0102541345273773
spec-0527-52342-0221g002.dat,0527,52342,0221,-1.937,0.094,-2.267680758408172,0.0094284182590904
spec-0531-52028-0373g001.dat,0531,52028,0373,,,-1.8144779656968344,0.013966160987093
spec-0531-52028-0373g002.dat,0531,52028,0373,,,-1.620463493308412,0.0116798279337945
spec-0531-52028-0524g001.dat,0531,52028,0524,-1.26,0.05,-1.696923785914334,0.0110941673836855
spec-0531-52028-0524g002.dat,0531,52028,0524,-1.088,0.105,-1.7317819977581514,0.0113287627913107
spec-0532-51993-0140g001.dat,0532,51993,0140,,,-1.2982439318450123,0.0111908979395009
spec-0532-51993-0140g002.dat,0532,51993,0140,,,-1.3896338225913636,0.010959698832617
spec-0532-51993-0427g001.dat,0532,51993,0427,-2.185,0.035,-2.440075836069714,0.0082379350856344
spec-0534-51997-0479g001.dat,0534,51997,0479,,,-1.2959220089081218,0.011562725926537
spec-0534-51997-0479g002.dat,0534,51997,0479,-1.169,0.064,-1.52093350869163,0.0111016828569585
