orig_spec_file_name,feh_liu,error_feh_liu,feh_rrlfe,error_feh_rrlfe
spec-57325-M31016N38B1_sp03-245.dat,-1.615,0.077,-1.608527435047523,0.0115979981404222
spec-55924-M31_016N38_M1_sp10-228.dat,-1.55,0.271,-0.2847084584547376,0.0112741537631609
spec-58094-GACII016N38M1_sp10-228.dat,-1.55,0.271,-2.0875189141853125,0.0098676944470402
spec-55886-M31_004437N404045_M2_sp02-147.dat,-999.0,-999.0,-1.2357283362615257,0.0110811893603823
spec-56262-VB002N36V3_sp11-141.dat,-2.2,0.153,-1.8603469444321103,0.0102744314523374
spec-57279-M31012N38M1_sp15-148.dat,-2.2,0.064,-1.6541716527052768,0.0133630838961983
spec-58094-GACII016N38M1_sp14-246.dat,-2.2,0.064,-1.434467077625928,0.0113511313747861
spec-56622-M310138M1_sp14-236.dat,-2.112,0.184,0.0716912163962997,0.0146267532293062
spec-55859-M5901_sp07-052.dat,-2.112,0.184,-1.4354390460861255,0.0102719323993552
spec-56642-VB005N38V1_sp15-146.dat,-1.401,0.077,-1.6855987879036325,0.010210210665213
spec-56266-M31007N41B1_sp07-216.dat,-1.674,0.12,-2.3560048431600538,0.0092515471398116
spec-55886-M31_004437N404045_B2_sp04-100.dat,-1.546,0.06,0.1321089984976286,0.0136637225357716
spec-57013-M31011N40M2_sp04-100.dat,-1.546,0.06,-1.3837944379265057,0.0097311240982091
spec-56266-M31007N41B1_sp10-039.dat,-0.675,0.106,-0.317480130965685,0.0122172459129599
spec-55863-M31_011N40_B1_sp15-113.dat,-1.866,0.098,-2.0953668419737186,0.0105687780908032
spec-56985-M31000N42B1_sp08-057.dat,-1.158,0.101,-1.193570707796278,0.0123683280125847
spec-56582-VB012N41V2_sp15-057.dat,-0.197,0.095,-0.7018877919540072,0.0122495805425975
spec-56985-M31000N42B1_sp04-105.dat,-1.51,0.079,-1.847967179760119,0.0114876154413551
spec-56620-M31016N43B1_sp10-046.dat,-1.454,0.104,-1.8929517429621596,0.0107920548316185
spec-58074-GACII016N43B1_sp10-046.dat,-1.454,0.104,-1.698536759187519,0.0102847105575224
spec-57688-HD002813N442340B01_sp02-217.dat,-1.627,0.119,-1.0617656086235971,0.0099526079574247
spec-56266-M31007N41B1_sp14-138.dat,-1.627,0.119,-1.5464347535308245,0.011388130757365
spec-57004-M31011N40M1_sp11-001.dat,-1.84,0.146,-0.659906359584501,0.0289775778624334
spec-57695-M31007N41M1_sp12-202.dat,-1.84,0.146,-0.5831325314132809,0.0098798655955058
spec-56957-M31011N44M1_sp01-208.dat,-1.214,0.132,-1.3265358092903607,0.0112852137651992
spec-57688-HD002813N442340B01_sp05-092.dat,-1.055,0.082,0.9382459760606596,0.0244628821144011
spec-57362-M31006N44M1_sp05-144.dat,-1.055,0.082,-1.2727489117920578,0.0097048944724221
spec-57688-HD002813N442340B01_sp05-006.dat,-0.75,0.093,-0.6188838448505158,0.0106016225364981
spec-56266-M31007N41B1_sp11-091.dat,-0.75,0.093,-1.114104038962778,0.0095760758567582
spec-56957-M31011N44M1_sp05-100.dat,-1.619,0.077,-1.7479531660792065,0.0102576850498234
spec-57688-HD002813N442340B01_sp05-159.dat,-2.7,0.131,-1.1719568637262674,0.0101340092751011
spec-57362-M31006N44M1_sp08-011.dat,-2.7,0.131,-2.948729903914173,0.0203574973952716
spec-56957-M31011N44M1_sp10-050.dat,-999.0,-999.0,0.0407333910099794,0.0128797147408184
spec-57301-M31_000N44_B1_1_sp08-173.dat,-0.525,0.093,-1.0459814040827182,0.0150079407868527
spec-56957-M31011N44M1_sp06-099.dat,-2.395,0.084,-0.9666446631723764,0.0106965142538097
spec-56964-M31010N47B2_sp01-005.dat,-2.15,0.254,-1.4821888839162196,0.0108308524520741
spec-57336-M31004N46M1_sp05-017.dat,-1.513,0.084,-0.9487117764889432,0.010301089569233
spec-56949-M31010N47B1_sp01-116.dat,-0.782,0.153,0.5366956991111865,0.017714715064785
spec-56600-EG012606S021203F02_sp13-144.dat,-1.178,0.13,-0.9317534599764355,0.010509967549388
spec-56632-EG012606S021203F05_sp13-144.dat,-1.178,0.13,-0.374848440197606,0.0127176204082605
spec-56604-EG012606S021203F04_sp03-209.dat,-1.372,0.135,-2.1378158432320062,0.0094592672353244
spec-56600-EG012606S021203F02_sp08-011.dat,-1.548,0.182,-1.4277573138597106,0.0098042351012292
spec-57719-EG012606S021203M01_sp08-007.dat,-1.548,0.182,0.1830293398260715,0.0671012529692363
spec-56661-EG012606S021203B05_sp08-127.dat,-1.833,0.076,-2.0735291245069383,0.009758533489365
spec-56591-EG012606S021203F01_sp08-176.dat,-1.504,-999.0,-1.7726555926004992,0.0100888736287877
spec-56600-EG012606S021203F02_sp08-176.dat,-1.504,-999.0,-1.5977932660311072,0.0105982793737411
spec-56604-EG012606S021203F04_sp07-115.dat,-1.633,0.116,-1.961400344245758,0.0125477241985052
spec-57719-EG012606S021203M01_sp12-209.dat,-1.706,0.094,-1320.001093339772,-999.0
spec-56632-EG012606S021203F05_sp12-209.dat,-1.706,0.094,1.3740433122463005,0.0299997947430186
spec-56591-EG012606S021203F01_sp12-209.dat,-1.706,0.094,-0.2865321681860182,0.0124774342984288
spec-56630-EG012606S021203B02_sp15-156.dat,-1.233,0.076,-1.576736446847899,0.0112447941279966
spec-56661-EG012606S021203B05_sp15-156.dat,-1.233,0.076,-1.7466795032386302,0.0114976970572108
spec-56604-EG012606S021203F04_sp15-156.dat,-1.233,0.076,-1.4789192681370265,0.0102776159433213
spec-56233-EG012606S021203B03_sp15-156.dat,-1.233,0.076,0.8342673073813407,0.0204398961334808
spec-57719-EG012606S021203M01_sp15-156.dat,-1.233,0.076,-1.5131520149975053,0.0103519349534267
spec-56591-EG012606S021203F01_sp15-156.dat,-1.233,0.076,-1.7343768079875472,0.0112072456522456
spec-56632-EG012606S021203F05_sp15-156.dat,-1.233,0.076,-1.516444095955524,0.0100646148443125
spec-56213-EG012606S021203F03_sp15-156.dat,-1.233,0.076,-0.2037903907006763,0.0126726571128767
spec-56600-EG012606S021203F02_sp15-156.dat,-1.233,0.076,-1.5468326678591031,0.0100311855907539
spec-55920-F5592001_sp09-219.dat,-1.233,0.076,-1.624035004178487,0.0100369236839282
spec-56667-EG012606S021203B06_sp15-156.dat,-1.233,0.076,-1.5337810613932985,0.0099307145717036
spec-56595-EG012606S021203B01_sp15-156.dat,-1.233,0.076,-1.5720510950935158,0.0118029834627935
spec-57356-EG015238N022953B01_sp01-178.dat,-1.613,0.074,-1.800334442308562,0.0111018136365447
spec-55920-F5592001_sp16-223.dat,-1.075,-999.0,-1.2195591559788173,0.0095478487370514
spec-57307-EG011815N023302M01_sp05-217.dat,-1.791,0.064,-1.751124936324485,0.0104944742258788
spec-57356-EG015238N022953B01_sp10-035.dat,-2.4,0.141,-1320.001093339772,-999.0
spec-57356-EG015238N022953V01_sp08-250.dat,-2.084,0.109,0.8520377359377777,0.0347196799345159
spec-56232-EG011815N023302V01_sp03-243.dat,-1.1,0.25,-0.1826820326633859,0.0123891426992138
spec-57753-KP010605N031628V01_sp07-142.dat,-1.1,0.25,-1.6309313030934938,0.0102356724871979
spec-55916-F5591602_sp04-177.dat,-0.651,0.156,-1.2937734356382378,0.0097616972602921
spec-57291-EG012716N034819V01_sp06-201.dat,-1.583,0.053,-1.9018039344665716,0.01087387545347
spec-57291-EG012716N034819V01_sp06-201.dat,-999.0,-999.0,-1.9018039344665716,0.01087387545347
spec-57356-EG015238N022953B01_sp03-225.dat,-1.393,0.137,-1.836140034518702,0.0120558238442941
spec-57388-EG015238N022953M01_sp03-225.dat,-1.393,0.137,-1.5093767586463915,0.0118916918022104
spec-57307-EG011815N023302M01_sp09-177.dat,-1.563,0.046,-1.824040706587969,0.0104069104687108
spec-57284-EG012716N034819M01_sp03-238.dat,-1.563,0.046,-1.8583301430883097,0.0107950034611917
spec-57388-EG015238N022953M01_sp14-084.dat,-999.0,-999.0,-0.083914879374268,0.0165583689740676
spec-55916-F5591602_sp14-084.dat,-999.0,-999.0,1.855092284882576,0.0480303600651104
spec-57024-EG010249N073002B_sp01-025.dat,-2.249,0.158,-2.2177090246991065,0.0112098350224267
spec-57686-KP010347N064553M01_sp08-234.dat,-999.0,-999.0,-0.9516262469542458,0.0104504549017598
spec-57686-KP010347N064553M01_sp06-067.dat,-2.728,0.062,-1.9257574815344447,0.016470237329159
spec-57368-EG012903N071738V01_sp06-139.dat,-1.317,0.076,-1.661151723519311,0.0109895224915931
spec-57311-EG014125N052915M01_sp12-014.dat,-1.745,0.076,-0.741159540931444,0.0112705062344369
spec-56200-EG020152N075151V_1_sp04-187.dat,-1.66,0.11,-1.7539649228484642,0.0118052320778463
spec-56205-EG020152N075151L02_sp04-187.dat,-1.66,0.11,-1.757790330704481,0.0100884618881746
spec-57693-EG015106N083254M01_sp04-081.dat,-2.399,0.09,0.0499425439664462,0.0134254517578405
spec-57311-EG010249N073002M01_sp09-199.dat,-1.4,0.184,-0.465145148847514,0.01126312525637
spec-58399-EG012119N113212M01_sp12-181.dat,-1.984,0.06,-1.8847687346851307,0.0156948900743283
spec-57299-EG013129N152044B01_sp02-013.dat,-1.984,0.06,-1.8850872422259908,0.0107508543189112
spec-57019-EG010633N125721B01_sp15-146.dat,-1.712,0.072,-2.0940431267883746,0.0098491771415136
spec-57299-EG013129N152044V01_sp08-242.dat,-2.307,0.05,-2.6855905187221465,0.0089996725627432
spec-57299-EG013129N152044B01_sp10-022.dat,-2.35,0.053,-2.579450700244851,0.0086506274448776
spec-58435-EG010125N183214M01_sp07-089.dat,-2.399,0.066,-1.444263649865599,0.0119433435932405
spec-57357-EG011407N160800B01_sp15-131.dat,-1.8,0.133,-2.044236336499845,0.0099692583458407
spec-57357-EG011407N160800B01_sp11-062.dat,-1.3,0.197,-0.775191099668709,0.0111177208515366
spec-57326-EG015109N203051B01_sp07-014.dat,-1.932,0.073,-1.9366635751697712,0.0099449359665369
spec-57326-EG015109N203051B01_sp07-055.dat,-999.0,-999.0,-1.6568367904978691,0.0112910722234229
spec-56202-EG012535N233041V01_sp02-149.dat,-0.575,0.093,-0.1429792541319184,0.0153965856234865
spec-56979-EG014118N254444B01_sp07-219.dat,-999.0,-999.0,-1.5309099369471606,0.0103963425422906
spec-57000-M31027N26B2_sp01-217.dat,-1.267,0.076,-1.505999411922044,0.0105392373028894
spec-57000-M31027N26B1_sp01-217.dat,-1.267,0.076,-1.4412678499318314,0.0099499861155103
spec-56979-EG014118N254444B01_sp07-134.dat,-1.267,0.076,-1.710045970135612,0.0110929712953522
spec-57327-EG005558N271233B01_sp07-226.dat,-1.49,0.089,-1.3959375543085737,0.0106660674818857
spec-57000-M31027N26B2_sp05-072.dat,-1.768,0.078,-1.820126160885568,0.0114057927673175
spec-56973-M31020N28B1_sp02-130.dat,-2.55,0.093,-2.752630346092713,0.0101030753241045
spec-57000-M31027N26B1_sp15-156.dat,-1.683,0.053,-2.027205020076239,0.0109813791960304
spec-55907-M31_021N30_B1_sp07-241.dat,-1.683,0.053,-1.720160256218501,0.0115783936231107
spec-55940-M31_025N30_B2_sp07-241.dat,-1.683,0.053,-1.9411273519207264,0.010507003019655
spec-56979-EG014118N254444B01_sp12-250.dat,-1.683,0.053,-1.778818148984957,0.0111554715514679
spec-57000-M31027N26B2_sp15-156.dat,-1.683,0.053,-2.140330722408405,0.0105024647548583
spec-55931-M31_025N30_B2_sp07-241.dat,-1.683,0.053,-1.8308097003534232,0.0102422139249467
spec-57030-M31028N29B2_sp02-132.dat,-1.683,0.053,-2.155396434046153,0.0103125038894962
spec-56658-M31027N26B1_sp15-156.dat,-1.683,0.053,-2.099594442173929,0.010872359139225
spec-56976-M31028N29B1_sp02-132.dat,-1.683,0.053,-2.257554328849748,0.0101508824754693
spec-57009-M31020N28B2_sp10-128.dat,-0.5,0.076,-1.103757412375787,0.0104068217376677
spec-56973-M31020N28B1_sp10-128.dat,-0.5,0.076,-1.030465688018994,0.0102417026880385
spec-58401-EG013501N290602M01_sp03-061.dat,-999.0,-999.0,-1.7696750227735687,0.0110499936529349
spec-56983-M31020N28M1_sp09-157.dat,-1.814,0.1,-1.3291094006519448,0.0110681395739594
spec-57011-M31019N31M1_sp07-230.dat,-1.814,0.1,-1.766422685978196,0.0100615850347274
spec-56976-M31028N29B1_sp04-066.dat,-1.917,0.076,-2.086178201581631,0.0099154433329533
spec-57009-M31020N28B2_sp12-205.dat,-1.575,0.108,-1.7511423356034066,0.0127025858954933
spec-55940-M31_025N30_B2_sp14-041.dat,-1.575,0.108,-1.543976228850949,0.0116051611685763
spec-55909-M31_019N31_B1_sp01-114.dat,-1.575,0.108,-0.2452398208822373,0.011746854400277
spec-56976-M31028N29B1_sp09-213.dat,-1.983,0.113,-1.8052634091301056,0.0101632210877221
spec-55909-M31_019N31_B1_sp01-121.dat,-1.844,-999.0,-0.9270409820455894,0.0103588934709523
spec-57360-EG012256N315028B01_sp07-093.dat,-1.844,-999.0,-2.043826148616822,0.0109630861517553
spec-57009-M31020N28B2_sp12-104.dat,-1.844,-999.0,-2.118894415952016,0.0100627087545943
spec-56973-M31020N28B1_sp12-104.dat,-1.844,-999.0,-2.186851437002161,0.0101214834382364
spec-56993-EG013501N290602V01_sp12-148.dat,-1.432,0.06,-1.3789918661074756,0.0121714171754449
spec-57297-HD014422N323057V01_sp05-149.dat,-1.156,0.046,-1.8362076938570693,0.0108911823650028
spec-57360-EG012256N315028B01_sp14-044.dat,-1.517,0.076,-2.008294470455427,0.0106681002279824
spec-56927-M31019N31B1_sp03-104.dat,-1.517,0.076,-1.857837930767348,0.01039202616064
spec-57026-M31019N31B2_sp03-104.dat,-1.517,0.076,-1.882590456422827,0.0115099219160425
spec-57373-M31019N31B1_sp03-104.dat,-1.517,0.076,-1.9413304691403648,0.0099200984902267
spec-56570-VB021N31V1_sp09-191.dat,-1.298,0.139,-0.3156168247699312,0.0107484039761016
spec-56561-M31023N33B1_sp08-071.dat,-999.0,-999.0,-1.8554850419483189,0.0100229362873794
spec-56650-M31021N31M1_sp09-164.dat,-1.5,0.119,-2.1397151112139543,0.0099136780347334
spec-57360-EG012256N315028B01_sp15-243.dat,-1.979,0.057,-2.0651572857130747,0.0098375432357287
spec-57373-M31019N31B1_sp09-106.dat,-1.979,0.057,-1.8011534055908034,0.0111496776693361
spec-57026-M31019N31B2_sp09-106.dat,-1.979,0.057,-2.024033646995117,0.0101218531164577
spec-56927-M31019N31B1_sp09-106.dat,-1.979,0.057,-1.8670837926051556,0.0108737037999137
spec-55909-M31_019N31_B1_sp14-131.dat,-1.979,0.057,-0.3895629409284424,0.0111331614014108
