realization_spec_file_name,orig_spec_file_name,EW_Hbeta,err_EW_Hbeta_from_robo,EW_Hdelta,err_EW_Hdelta_from_robo,EW_Hgamma,err_EW_Hgamma_from_robo,EW_Heps,err_EW_Heps_from_robo,EW_CaIIK,err_EW_CaIIK_from_robo,EW_Balmer,err_EW_Balmer_from_Robo,err_EW_Balmer_based_noise_churning,err_EW_Hbeta_based_noise_churning,err_EW_Hdelta_based_noise_churning,err_EW_Hgamma_based_noise_churning,err_EW_Heps_based_noise_churning,err_EW_CaIIK_based_noise_churning,feh_retrieved,err_feh_retrieved,teff_retrieved
RU_Psc_10_noise_ver_000.dat,RU_Psc_10.dat,7.619491,1.727271,10.36388,1.803177,10.111133,2.106057,10.523285,2.073566,1.762101,0.327069,10.2375065,2.7725301406076723,0.0,0.0,0.0,0.0,0.0,0.0,-1.7050996945638224,0.01658555322270513,7407.134684098259
RU_Psc_11_noise_ver_000.dat,RU_Psc_11.dat,7.822087,1.7865990000000005,10.427285,1.817687,10.433706,2.097576,10.971658,2.03364,1.741943,0.293917,10.4304955,2.77557401373932,0.0,0.0,0.0,0.0,0.0,0.0,-1.6895113332918112,0.01661814974433829,7444.3357177486205
RU_Psc_12_noise_ver_000.dat,RU_Psc_12.dat,7.847541,1.746678,10.558278,1.744232,10.409586,2.081114,10.8223,2.029889,1.746647,0.273716,10.483932,2.715396978495041,0.0,0.0,0.0,0.0,0.0,0.0,-1.6796055424442098,0.016620399068163042,7454.636268736799
RU_Psc_13_noise_ver_000.dat,RU_Psc_13.dat,7.838735000000002,1.693839,10.429832,1.767526,10.426635,1.967955,11.182642,1.629212,1.649891,0.172824,10.4282335,2.645183366555332,0.0,0.0,0.0,0.0,0.0,0.0,-1.7423983098841496,0.016670425512086577,7443.899689072804
RU_Psc_14_noise_ver_000.dat,RU_Psc_14.dat,7.583334,1.602391,11.08353,1.6391080000000002,10.386354,2.073946,11.217676,1.507183,1.6210209999999998,0.133125,10.734942,2.643468752714887,0.0,0.0,0.0,0.0,0.0,0.0,-1.7193071601614036,0.016778848774876523,7503.021572855569
RU_Psc_15_noise_ver_000.dat,RU_Psc_15.dat,5.216342,1.424301,7.065366,1.483854,7.482378,1.970085,7.4833729999999985,2.23981,2.7472220000000003,0.402719,7.273872,2.4663855336384457,0.0,0.0,0.0,0.0,0.0,0.0,-1.7503591402562908,0.014338998404660111,6835.857218740786
RU_Psc_16_noise_ver_000.dat,RU_Psc_16.dat,5.029776999999998,1.32574,6.977214,1.596746,7.153447,1.883466,7.3732929999999985,2.177552,2.698803,0.30640100000000003,7.065330499999999,2.469218897074944,0.0,0.0,0.0,0.0,0.0,0.0,-1.8034123382795517,0.014096130738205597,6795.658246991117
RU_Psc_17_noise_ver_000.dat,RU_Psc_17.dat,4.8622830000000015,1.224053,6.903872,1.566412,7.036548,1.847266,7.360442999999999,2.179692,2.730332,0.371508,6.970210000000002,2.4219905508692645,0.0,0.0,0.0,0.0,0.0,0.0,-1.8081372312463433,0.01399626035331191,6777.32258578069
RU_Psc_18_noise_ver_000.dat,RU_Psc_18.dat,5.000216,1.360345,6.959113,1.641776,6.985877,1.872687,7.391153,2.086769,2.781036,0.560037,6.9724949999999986,2.490458799929242,0.0,0.0,0.0,0.0,0.0,0.0,-1.7897126498325049,0.014014825744805247,6777.763047992998
RU_Psc_19_noise_ver_000.dat,RU_Psc_19.dat,4.982103,1.285526,6.918080000000002,1.590695,7.314896000000001,1.919382,7.17253,2.009122,2.597156,0.234936,7.116488000000001,2.4928573655444057,0.0,0.0,0.0,0.0,0.0,0.0,-1.8321338107398402,0.01411495840492377,6805.519492341725
RU_Psc_20_noise_ver_000.dat,RU_Psc_20.dat,5.095546,1.407399,7.18043,1.7352919999999998,7.248246000000001,1.920206,8.061795,1.960256,2.611738,0.34188,7.2143380000000015,2.5881324169562885,0.0,0.0,0.0,0.0,0.0,0.0,-1.8102147658098366,0.014243603434329845,6824.3812986762205
RU_Psc_21_noise_ver_000.dat,RU_Psc_21.dat,5.3719470000000005,1.500909,7.319911999999999,1.592609,7.501475,1.975384,8.443083,2.042134,2.606395,0.44707,7.410693499999999,2.5374288904986084,0.0,0.0,0.0,0.0,0.0,0.0,-1.7789276093376627,0.014476920566745023,6862.231267135218
RU_Psc_22_noise_ver_000.dat,RU_Psc_22.dat,5.657661,1.580141,7.167783,1.464357,7.45783,2.054052,8.533422999999999,1.975135,2.676189,0.474062,7.3128065000000015,2.5225921275848378,0.0,0.0,0.0,0.0,0.0,0.0,-1.76961340775762,0.014375819230721083,6843.362328589846
RW_Ari_01_noise_ver_000.dat,RW_Ari_01.dat,5.6189800000000005,3.060802,5.912081,1.456331,7.287892,2.350332,8.092652000000001,2.181361,4.101436,1.10445,6.599986500000001,2.7649521680826594,0.0,0.0,0.0,0.0,0.0,0.0,-1.4490995442113839,0.013175628404782052,6705.957394595416
RW_Ari_02_noise_ver_000.dat,RW_Ari_02.dat,5.32821,2.487688,5.865657,1.544354,7.531325,2.509666,7.282284,2.403909,3.878009,1.1450049999999998,6.6984910000000015,2.9467698771488764,0.0,0.0,0.0,0.0,0.0,0.0,-1.4929658832277566,0.01338745354054221,6724.945363957463
RW_Ari_03_noise_ver_000.dat,RW_Ari_03.dat,6.431329,3.149901,8.129934,2.081589,8.575099,2.490616,9.02358,2.619793,2.984852,0.970797,8.3525165,3.2459483705655274,0.0,0.0,0.0,0.0,0.0,0.0,-1.475210304200165,0.015227938249352474,7043.7793818758755
RW_Ari_04_noise_ver_000.dat,RW_Ari_04.dat,5.832882,2.673234,6.5772179999999985,1.7599240000000005,7.984464,2.522975,8.233558,2.251635,3.796933,1.226406,7.280840999999999,3.076155934994357,0.0,0.0,0.0,0.0,0.0,0.0,-1.4085483083941086,0.013798033540236537,6837.200580297711
RW_Ari_05_noise_ver_000.dat,RW_Ari_05.dat,5.262175,2.463314,5.22965,1.299407,7.113786,2.593576,7.159273,2.075019,4.253158999999999,1.184424,6.171718,2.900878318617484,0.0,0.0,0.0,0.0,0.0,0.0,-1.4875248566040162,0.012972030046855777,6623.403306642787
SV_Eri_01_noise_ver_000.dat,SV_Eri_01.dat,4.207479,1.932705,4.5176940000000005,1.36278,4.3239800000000015,1.402221,6.031582,1.577023,2.797412,0.558104,4.4208370000000015,1.9553498564811875,0.0,0.0,0.0,0.0,0.0,0.0,-2.1780708411609284,0.01100072656091474,6285.899184652523
SV_Eri_02_noise_ver_000.dat,SV_Eri_02.dat,8.231860000000001,2.1897580000000003,8.526671,1.6897970000000002,9.479029,2.474873,9.115786,1.864243,1.873315,0.315123,9.00285,2.996733265964457,0.0,0.0,0.0,0.0,0.0,0.0,-1.8332858098974225,0.01603302421214423,7169.139264653949
SV_Eri_03_noise_ver_000.dat,SV_Eri_03.dat,4.381803,2.77062,4.852961,1.234967,5.675834,2.060613,6.451318,1.7400779999999998,3.021795,0.692055,5.264397499999999,2.4023466500191017,0.0,0.0,0.0,0.0,0.0,0.0,-1.9876682265139205,0.012329796663843009,6448.505978545521
SV_Eri_05_noise_ver_000.dat,SV_Eri_05.dat,6.062464,2.1260830000000004,6.799639,1.478684,7.532441,2.118171,7.930246,2.058866,2.547894,0.67604,7.1660400000000015,2.5832450052399207,0.0,0.0,0.0,0.0,0.0,0.0,-1.8423218283303724,0.014151617488031844,6815.07125756898
SV_Eri_06_noise_ver_000.dat,SV_Eri_06.dat,5.0394830000000015,2.059145,6.096911,1.5115299999999998,6.962178,2.025127,7.23022,2.075905,2.747145,0.654686,6.5295445,2.5270263764015204,0.0,0.0,0.0,0.0,0.0,0.0,-1.8757928122624588,0.01347356770713033,6692.378821659141
TT_Lyn_01_noise_ver_000.dat,TT_Lyn_01.dat,6.652358,1.66408,7.741499,1.650062,8.688473,2.37995,8.581642,1.7530400000000002,2.766465,0.523199,8.214986,2.8960087372699688,0.0,0.0,0.0,0.0,0.0,0.0,-1.5795454902106787,0.015241455445931574,7017.268664900032
TT_Lyn_02_noise_ver_000.dat,TT_Lyn_02.dat,6.385189,1.548507,7.405067,1.691339,8.269929,2.454791,8.526442999999999,1.841326,2.791516,0.47129,7.837497999999999,2.981044526101883,0.0,0.0,0.0,0.0,0.0,0.0,-1.6364746052422197,0.014894245005302823,6944.503150852041
TT_Lyn_03_noise_ver_000.dat,TT_Lyn_03.dat,7.563497,13.567506,5.679442,1.397882,6.760597,2.167146,7.400836999999999,1.520721,3.630735,0.518259,6.220019499999999,2.578874923535455,0.0,0.0,0.0,0.0,0.0,0.0,-1.649396051508993,0.013356128690078987,6632.714022418623
TT_Lyn_04_noise_ver_000.dat,TT_Lyn_04.dat,4.5941800000000015,1.40946,4.9345,1.22275,5.5955980000000025,2.156543,6.906371000000001,1.736336,4.346024,0.80492,5.265049000000001,2.4790714538611023,0.0,0.0,0.0,0.0,0.0,0.0,-1.6256382701957892,0.013078285405714637,6448.631563285705
TT_Lyn_05_noise_ver_000.dat,TT_Lyn_05.dat,4.364224,1.28922,4.704576,1.175541,5.221799,1.956278,6.731657000000001,1.9596240000000005,4.3757199999999985,0.959545,4.9631875,2.282305907621719,0.0,0.0,0.0,0.0,0.0,0.0,-1.6701592957781788,0.01317686451157554,6390.4439991279105
TT_Lyn_06_noise_ver_000.dat,TT_Lyn_06.dat,6.782641,3.465361,7.697836,1.749289,6.898608,2.713731,8.183805,2.117006,2.455367,0.809339,7.298222,3.2286758812061023,0.0,0.0,0.0,0.0,0.0,0.0,-1.855778030319953,0.014270811819382287,6840.550984548094
TT_Lyn_07_noise_ver_000.dat,TT_Lyn_07.dat,11.775314,3.524885,8.528309,1.881078,9.905085,2.581633,9.418885,1.574064,2.322146,0.283167,9.216697,3.194257877625569,0.0,0.0,0.0,0.0,0.0,0.0,-1.587995891255556,0.01611135760754794,7210.360937614734
TT_Lyn_09_noise_ver_000.dat,TT_Lyn_09.dat,3.033499,1.594917,4.341149,1.061689,5.554706,2.106841,5.631457,1.846234,3.50147,0.930309,4.9479275000000005,2.3592292241327466,0.0,0.0,0.0,0.0,0.0,0.0,-1.8975775732537046,0.01277024220912836,6387.502444047027
TT_Lyn_10_noise_ver_000.dat,TT_Lyn_10.dat,3.369681,1.108092,2.933781,0.656817,4.253409,2.097694,6.4897860000000005,1.678736,5.721785,1.729441,3.5935950000000005,2.1981193527934284,0.0,0.0,0.0,0.0,0.0,0.0,-1.6100024103290478,0.014339023869239067,6126.4379849002435
