,file,ut_epoch,ra,dec,jd,bjd
61,VX_Her_24.fits,2013-07-26 06:43:26.71,16:31:32.10,+18:16:14.30,2456499.7801702544,2456499.783154373
62,RU_Psc_12.fits,2013-07-25 09:52:26.48,01:15:15.20,+24:24:15.90,2456498.911417593,2456498.9127534376
63,RR_Cet_09.fits,2012-12-27 01:30:30.61,01:32:51.00,+01:20:08.50,2456288.5628542826,2456288.5652141217
64,X_Ari__03.fits,2012-12-22 05:01:23.35,03:09:17.20,+10:25:09.10,2456283.7092980323,2456283.7141994666
65,AV_Peg_03.fits,2013-07-24 10:47:39.05,21:52:49.90,+22:33:34.50,2456497.9497575234,2456497.954415798
66,T_Sex__04.fits,2012-12-23 11:44:59.36,09:54:13.40,+01:55:03.80,2456284.9895759257,2456284.993303915
67,TU_UMa_03.fits,2012-12-23 11:11:31.88,11:30:27.20,+29:54:33.90,2456284.9663412035,2456284.9689861867
68,AR_Per_08.fits,2012-12-22 04:36:40.09,04:18:10.10,+47:20:00.10,2456283.6921306713,2456283.6977288728
69,RU_Psc_11.fits,2013-07-25 09:34:19.36,01:15:15.40,+24:24:15.90,2456498.898835185,2456498.9001697702
70,TW_Lyn_03.fits,2012-12-27 05:55:17.84,07:45:57.10,+42:58:51.90,2456288.746734259,2456288.752614117
71,TT_Lyn_08.fits,2012-12-27 07:38:01.68,09:03:54.30,+44:25:57.0,2456288.818075,2456288.8232862214
72,VX_Her_11.fits,2013-07-24 06:40:27.63,16:31:30.70,+18:16:16.50,2456497.7780975695,2456497.7812121944
73,VX_Her_07.fits,2013-07-24 05:26:34.94,16:31:25.40,+18:16:16.50,2456497.726793287,2456497.729909607
74,AR_Per_04.fits,2012-12-21 07:08:50.50,04:18:14.90,+47:19:59.30,2456282.797806713,2456282.803432178
75,RR_Cet_06.fits,2012-12-22 05:26:39.18,01:33:00.80,+01:20:11.60,2456283.726842361,2456283.7296634596
76,TT_Lyn_04.fits,2012-12-23 10:28:56.26,09:03:55.30,+44:25:50.40,2456284.9367622687,2456284.941792603
77,AR_Per_12.fits,2012-12-24 06:06:39.66,04:18:11.80,+47:20:02.30,2456285.7546256944,2456285.7601578347
78,TT_Lyn_05.fits,2012-12-23 10:39:55.90,09:03:55.60,+44:25:50.80,2456284.944396991,2456284.949427641
79,AR_Per_13.fits,2012-12-24 06:25:43.06,04:18:12.60,+47:20:02.30,2456285.7678594906,2456285.77339128
80,RR_Cet_07.fits,2012-12-24 03:44:32.77,01:32:54.40,+01:19:59.70,2456285.655934838,2456285.658572581
81,AR_Per_05.fits,2012-12-21 07:32:16.76,04:18:17.00,+47:20:00.60,2456282.8140828703,2456282.819708069
82,TV_Lyn_07.fits,2012-12-28 06:21:01.40,07:34:23.60,+47:40:15.70,2456289.764599537,2456289.7703986457
83,V_535__05.fits,2012-12-27 10:21:49.43,07:11:40.00,+01:11:05.30,2456288.9318221067,2456288.937746737
84,SV_Eri_06.fits,2012-12-28 03:49:38.71,03:12:34.90,-11:22:38.80,2456289.6594758104,2456289.6631478155
85,TT_Lyn_09.fits,2012-12-27 09:23:36.66,09:03:54.10,+44:25:47.30,2456288.8913965276,2456288.8966110772
86,AV_Peg_01.fits,2013-07-24 08:46:04.27,21:52:45.50,+22:34:05.70,2456497.865327199,2456497.86998138
87,X_Ari__01.fits,2012-12-22 03:23:15.78,03:09:15.80,+10:24:39.60,2456283.641154861,2456283.646060376
88,TW_Lyn_02.fits,2012-12-22 08:01:00.62,07:45:57.50,+42:59:05.10,2456283.8340349537,2456283.839778716
89,AR_Per_09.fits,2012-12-22 05:57:06.72,04:18:12.20,+47:20:01.0,2456283.7479944443,2456283.7535911626
90,TU_UMa_02.fits,2012-12-23 11:00:30.12,11:30:26.80,+29:54:33.50,2456284.9586819443,2456284.961326395
91,VX_Her_17.fits,2013-07-26 04:33:16.22,16:31:23.30,+18:16:15.10,2456499.689771065,2456499.6927583674
92,RU_Psc_21.fits,2013-07-26 11:06:55.38,01:15:13.80,+24:24:43.60,2456499.9631409724,2456499.964575627
93,SV_Eri_01.fits,2012-12-24 05:38:07.50,03:12:39.40,-11:22:55.0,2456285.734809028,2456285.738759691
94,V_535__02.fits,2012-12-25 06:12:41.12,07:11:32.70,+01:10:56.10,2456286.758809259,2456286.7646839004
95,VX_Her_01.fits,2013-07-22 04:28:45.77,16:31:22.80,+18:16:16.0,2456495.6866408563,2456495.6898871553
96,AR_Per_02.fits,2012-12-21 04:27:07.07,04:18:10.40,+47:20:05.0,2456282.6854984956,2456282.691126706
97,TT_Lyn_02.fits,2012-12-23 08:01:35.64,09:03:53.80,+44:26:29.90,2456284.834440278,2456284.839465646
98,AR_Per_14.fits,2012-12-24 06:48:31.97,04:18:13.60,+47:20:02.30,2456285.7837033565,2456285.7892347286
99,BH_Peg_01.fits,2013-07-24 09:36:23.75,22:53:47.40,+15:46:56.50,2456497.9002748844,2456497.9045969616
100,T_Sex__02.fits,2012-12-23 08:37:39.81,09:54:11.60,+01:54:59.40,2456284.8594885417,2456284.8632060685
101,UY_Cam_03.fits,2012-12-21 11:42:17.23,08:00:20.00,+72:37:56.80,2456282.987699421,2456282.991970272
102,RU_Psc_17.fits,2013-07-26 09:53:30.55,01:15:14.00,+24:24:42.30,2456499.9121591435,2456499.913588945
103,VX_Her_21.fits,2013-07-26 05:47:09.11,16:31:27.50,+18:16:14.30,2456499.741077662,2456499.7440629117
104,X_Ari__10.fits,2012-12-28 05:27:33.93,03:09:19.40,+10:25:05.60,2456289.7274760418,2456289.7319444823
105,TW_Lyn_05.fits,2012-12-27 07:03:25.95,07:45:56.30,+42:58:47.50,2456288.794050347,2456288.799931464
106,X_Ari__06.fits,2012-12-24 05:08:25.71,03:09:18.00,+10:24:42.70,2456285.7141864584,2456285.718948371
107,AV_Peg_06.fits,2013-07-25 08:51:36.36,21:52:44.90,+22:34:06.10,2456498.8691708334,2456498.873874892
108,AV_Peg_07.fits,2013-07-25 10:17:00.98,21:52:49.10,+22:34:03.0,2456498.928483565,2456498.9331899458
109,X_Ari__07.fits,2012-12-25 04:38:45.65,03:09:16.70,+10:25:06.90,2456286.693583912,2456286.6982756876
110,RU_Psc_16.fits,2013-07-26 09:35:26.65,01:15:14.20,+24:24:42.30,2456499.8996140044,2456499.9010425517
111,VX_Her_20.fits,2013-07-26 05:27:58.14,16:31:25.50,+18:16:14.30,2456499.72775625,2456499.730741744
112,TU_UMa_04.fits,2012-12-23 11:22:37.61,11:30:27.00,+29:54:33.90,2456284.974046412,2456284.9766921215
113,UY_Cam_02.fits,2012-12-21 11:05:35.09,08:00:16.80,+72:37:56.80,2456282.96221169,2456282.966482345
114,T_Sex__03.fits,2012-12-23 09:41:33.54,09:54:10.90,+01:54:43.20,2456284.9038604167,2456284.907581758
115,RW_Ari_01.fits,2012-12-27 02:09:44.74,02:16:47.10,+17:30:57.10,2456288.5901011573,2456288.593887832
116,AR_Per_15.fits,2012-12-25 04:16:23.67,04:18:08.20,+47:20:06.30,2456286.678051736,2456286.6835516985
117,RR_Cet_01.fits,2012-12-22 02:04:07.93,01:32:52.00,+01:20:08.90,2456283.5862028934,2456283.5890340623
118,AR_Per_03.fits,2012-12-21 06:08:14.21,04:18:12.40,+47:19:58.80,2456282.755720023,2456282.761346463
119,TV_Lyn_01.fits,2012-12-24 07:19:19.57,07:34:23.50,+47:40:11.70,2456285.8050876157,2456285.8108086605
120,V_535__03.fits,2012-12-25 06:46:41.18,07:11:33.00,+01:10:56.10,2456286.782421065,2456286.788296279
121,VX_Her_16.fits,2013-07-26 04:14:57.54,16:31:21.80,+18:16:14.70,2456499.677054861,2456499.6800425295
122,RU_Psc_20.fits,2013-07-26 10:48:50.86,01:15:14.00,+24:24:42.70,2456499.9505886575,2456499.952022073
