,name_match,feh,err_feh,feh_mapped,err_feh_mapped
94,TV_CrB,-2.33,0.2,-2.583634,0.23486142536397928
95,W_Crt,-0.5,0.16,-0.531289,0.18359437246277457
96,X_Crt,-1.75,0.17,-1.9331639999999999,0.19917836610686412
97,XZ_Cyg,-1.52,0.11,-1.675219,0.13437407074655436
98,DM_Cyg,-0.14,0.11,-0.12754900000000002,0.1287573623564882
99,V894_Cyg,-1.71,0.07,-1.888304,0.09693522260251945
100,BV_Del,-0.69,0.15,-0.744374,0.17307137631913602
101,CK_Del,-1.26,0.21,-1.383629,0.24049628113756769
102,DX_Del,-0.56,0.12,-0.5985790000000001,0.1402176471632583
103,RT_Dor,-1.52,0.16,-1.675219,0.18717954285658464
104,SW_Dor,-1.6,0.28,-1.764939,0.31875862341276356
105,SX_Dor,-2.0,0.12,-2.213539,0.1484564124583374
106,VW_Dor,-1.24,0.17,-1.361199,0.19669320537578314
107,RW_Dra,-1.4,0.11,-1.5406389999999999,0.13353024685441123
108,SU_Dra,-1.74,0.14,-1.921949,0.1671894629335234
109,SW_Dra,-1.24,0.07,-1.361199,0.09220587313723567
110,WY_Dra,-1.66,0.08,-1.8322289999999999,0.10570889884962381
111,XZ_Dra,-0.87,0.09,-0.946244,0.10964983278145023
112,AE_Dra,-1.54,0.21,-1.697649,0.2415455788893682
113,BC_Dra,-2.0,0.14,-2.213539,0.16905522795820305
114,BD_Dra,-1.74,0.08,-1.921949,0.10653569737885982
115,BK_Dra,-2.12,0.21,-2.348119,0.24436409787241659
116,BT_Dra,-1.55,0.07,-1.708864,0.09518362214687988
117,BX_Dra,-0.75,0.08,-0.8116639999999999,0.09879003441643291
118,RX_Eri,-1.3,0.16,-1.4284890000000001,0.18610729163576584
119,SV_Eri,-2.04,0.07,-2.258399,0.10096941557224148
120,XY_Eri,-2.08,0.09,-2.303259,0.11969120455990072
121,BB_Eri,-1.51,0.18,-1.664004,0.20873288245027424
122,BK_Eri,-1.64,0.26,-1.809799,0.2968279643766739
123,RX_For,-1.26,0.11,-1.383629,0.13262755837683207
124,SS_For,-1.35,0.24,-1.484564,0.27380613524901154
125,SW_For,-1.95,0.24,-2.157464,0.27612898525870117
126,SX_For,-1.62,0.11,-1.787369,0.135125760419692
127,TV_For,-0.93,0.15,-1.013534,0.17379453244852092
128,TW_For,-1.95,0.1,-2.157464,0.12797551875261143
129,RR_Gem,-0.35,0.3,-0.36306399999999994,0.3385624382591784
130,SZ_Gem,-1.81,0.15,-2.000454,0.1782137741618195
131,RR_Gru,-0.45,0.42,-0.47521399999999997,0.4725958059483812
132,RT_Gru,-1.49,0.11,-1.6415739999999999,0.13415712035147442
133,RW_Gru,-2.0,0.21,-2.213539,0.24371057676063218
134,SS_Gru,-2.35,0.23,-2.606064,0.26729274050186996
135,UW_Gru,-1.68,0.15,-1.8546589999999998,0.17739064295785165
136,AP_Gru,-1.92,0.13,-2.1238189999999997,0.15805502158742063
137,TW_Her,-0.67,0.24,-0.721944,0.2721830412130778
138,VZ_Her,-1.03,0.11,-1.125684,0.13134025837114832
139,AF_Her,-1.94,0.09,-2.146249,0.11816466646591103
