,file_name,s_to_n
38,TV_Lyn_09_noise_ver_000.dat,38.14146378155028
39,AR_Per_16_noise_ver_000.dat,22.16707706221812
40,RR_Cet_08_noise_ver_000.dat,33.9991551321427
41,X_Ari__07_noise_ver_000.dat,77.28323716527753
42,RU_Psc_21_noise_ver_000.dat,60.1691924480839
43,TU_UMa_04_noise_ver_000.dat,43.30634262690828
44,RU_Psc_09_noise_ver_000.dat,59.80436651878065
45,VX_Her_05_noise_ver_000.dat,68.1661844853894
46,TT_Lyn_01_noise_ver_000.dat,41.862476067175564
47,RU_Psc_10_noise_ver_000.dat,67.61376940431869
48,T_Sex__01_noise_ver_000.dat,44.78369122161902
49,AR_Per_13_noise_ver_000.dat,27.295697344260358
50,V445_O_01_noise_ver_000.dat,18.004366545341966
51,TV_Lyn_10_noise_ver_000.dat,35.580400001323746
52,TU_UMa_01_noise_ver_000.dat,33.79252975829007
53,X_Ari__02_noise_ver_000.dat,45.70590233056724
54,AV_Peg_09_noise_ver_000.dat,28.479042629709557
55,TT_Lyn_04_noise_ver_000.dat,37.97783755372223
56,RW_Ari_03_noise_ver_000.dat,39.60811675526198
57,VX_Her_18_noise_ver_000.dat,45.54969999968203
58,RU_Psc_14_noise_ver_000.dat,72.14453842248778
59,TV_Lyn_08_noise_ver_000.dat,37.816484481800245
60,T_Sex__05_noise_ver_000.dat,41.608803254130606
61,X_Ari__06_noise_ver_000.dat,60.32339937308366
62,RR_Cet_09_noise_ver_000.dat,44.37357618297247
63,RU_Psc_20_noise_ver_000.dat,58.86963391934541
64,TU_UMa_05_noise_ver_000.dat,29.85792452168763
65,VX_Her_04_noise_ver_000.dat,81.47373165962952
66,RU_Psc_08_noise_ver_000.dat,55.81803126417942
67,RU_Psc_11_noise_ver_000.dat,70.00834691492042
68,AR_Per_12_noise_ver_000.dat,23.82180288208014
69,X_Ari__03_noise_ver_000.dat,49.50382275165892
70,AV_Peg_08_noise_ver_000.dat,20.062744964626425
71,VX_Her_01_noise_ver_000.dat,35.811987406865754
72,TT_Lyn_05_noise_ver_000.dat,37.574783204864715
73,RR_Leo_06_noise_ver_000.dat,29.238191305563717
74,SV_Eri_04_noise_ver_000.dat,59.785896655580146
75,TV_Lyn_04_noise_ver_000.dat,34.768247572458364
76,TT_Lyn_10_noise_ver_000.dat,28.794570639188304
77,VX_Her_14_noise_ver_000.dat,50.154525144341065
78,RU_Psc_18_noise_ver_000.dat,57.99396796448264
79,RR_Lyr_03_noise_ver_000.dat,35.90185763064307
80,VX_Her_08_noise_ver_000.dat,56.65342938989136
81,RU_Psc_04_noise_ver_000.dat,55.06513915061514
82,AR_Per_07_noise_ver_000.dat,26.99864768053532
83,TW_Lyn_07_noise_ver_000.dat,29.264920788261566
84,VX_Her_20_noise_ver_000.dat,43.672419541706425
85,UY_Cam_02_noise_ver_000.dat,46.74202354620599
86,AV_Peg_01_noise_ver_000.dat,18.798326738153772
87,RR_Cet_05_noise_ver_000.dat,35.99687858036898
88,SV_Eri_01_noise_ver_000.dat,46.49266283538852
89,TV_Lyn_01_noise_ver_000.dat,33.06001587458875
90,RR_Leo_03_noise_ver_000.dat,30.741456854905103
91,BH_Peg_03_noise_ver_000.dat,33.998838196523664
92,VX_Her_11_noise_ver_000.dat,51.123745902882625
93,TT_Lyn_09_noise_ver_000.dat,37.579342058567605
94,RU_Psc_01_noise_ver_000.dat,45.07065643578284
95,AV_Peg_04_noise_ver_000.dat,23.780920921384702
96,V_535__05_noise_ver_000.dat,31.983043232095284
97,TW_Lyn_02_noise_ver_000.dat,21.152121797425433
98,AR_Per_02_noise_ver_000.dat,18.546876690275937
99,VX_Her_25_noise_ver_000.dat,39.641896734483055
100,RR_Leo_07_noise_ver_000.dat,27.010104756516455
101,SV_Eri_05_noise_ver_000.dat,53.54695585765534
102,TV_Lyn_05_noise_ver_000.dat,34.97200955003811
103,RU_Psc_19_noise_ver_000.dat,59.34767908607926
104,VX_Her_15_noise_ver_000.dat,48.674254958925545
105,RR_Lyr_02_noise_ver_000.dat,37.75252560619943
106,RU_Psc_05_noise_ver_000.dat,54.49820634946047
107,VX_Her_09_noise_ver_000.dat,53.70864488645024
108,V_535__01_noise_ver_000.dat,49.50696281915063
109,TW_Lyn_06_noise_ver_000.dat,26.279560269513553
110,AR_Per_06_noise_ver_000.dat,29.08167144655153
111,UY_Cam_03_noise_ver_000.dat,49.153110083862494
112,VX_Her_21_noise_ver_000.dat,42.92554698640193
113,RR_Cet_04_noise_ver_000.dat,47.198114141748874
114,RR_Leo_02_noise_ver_000.dat,34.827204190489546
115,BH_Peg_02_noise_ver_000.dat,32.87559581362363
116,VX_Her_10_noise_ver_000.dat,52.22386236023167
117,TT_Lyn_08_noise_ver_000.dat,33.644302246917874
118,AV_Peg_05_noise_ver_000.dat,22.419511361884048
119,RR_Cet_01_noise_ver_000.dat,45.76680975357735
120,AR_Per_03_noise_ver_000.dat,18.53704936357672
121,TW_Lyn_03_noise_ver_000.dat,19.39350695506998
122,V_535__04_noise_ver_000.dat,52.93027497768774
123,VX_Her_24_noise_ver_000.dat,40.42477391831773
124,RR_Leo_04_noise_ver_000.dat,30.457109987462932
125,TV_Lyn_06_noise_ver_000.dat,36.2477759283032
126,SV_Eri_06_noise_ver_000.dat,50.95182670817197
127,VX_Her_16_noise_ver_000.dat,46.28961885375989
128,RR_Lyr_01_noise_ver_000.dat,35.24005767281778
129,RU_Psc_06_noise_ver_000.dat,51.17212916790671
130,VX_Her_22_noise_ver_000.dat,40.679568190544586
131,V_535__02_noise_ver_000.dat,52.44261645646881
132,TW_Lyn_05_noise_ver_000.dat,19.949455818246363
133,AR_Per_05_noise_ver_000.dat,30.366603166923838
134,RR_Cet_07_noise_ver_000.dat,34.025344561110764
135,X_Ari__08_noise_ver_000.dat,60.781571538343144
136,AV_Peg_03_noise_ver_000.dat,34.40097149876372
137,TV_Lyn_03_noise_ver_000.dat,32.95317664363854
138,SV_Eri_03_noise_ver_000.dat,45.239360784486024
139,RR_Leo_01_noise_ver_000.dat,32.79041460147328
140,BH_Peg_01_noise_ver_000.dat,35.60346288759309
141,VX_Her_13_noise_ver_000.dat,51.37415633038419
142,RU_Psc_03_noise_ver_000.dat,58.090552847416916
143,RR_Lyr_04_noise_ver_000.dat,39.229255484464694
144,RR_Cet_02_noise_ver_000.dat,46.87638433392634
145,AV_Peg_06_noise_ver_000.dat,21.678063286729596
146,RR_Leo_05_noise_ver_000.dat,29.70850980226726
147,TV_Lyn_07_noise_ver_000.dat,36.377216318207395
148,VX_Her_17_noise_ver_000.dat,46.98642988173202
149,RU_Psc_07_noise_ver_000.dat,57.25079256926059
150,VX_Her_23_noise_ver_000.dat,41.4292278948148
151,UY_Cam_01_noise_ver_000.dat,49.62905959736077
152,AR_Per_04_noise_ver_000.dat,28.542991963420313
153,TW_Lyn_04_noise_ver_000.dat,19.68009194993179
154,V_535__03_noise_ver_000.dat,54.544823349086975
155,X_Ari__09_noise_ver_000.dat,45.481968707321165
156,RR_Cet_06_noise_ver_000.dat,37.61082403045271
157,AV_Peg_02_noise_ver_000.dat,31.717331123967227
158,TV_Lyn_02_noise_ver_000.dat,33.971851584887375
159,SV_Eri_02_noise_ver_000.dat,56.98536559482331
160,X_Ari__10_noise_ver_000.dat,60.21213006954143
161,VX_Her_12_noise_ver_000.dat,51.52121851620847
162,RU_Psc_02_noise_ver_000.dat,59.154048890260796
163,RR_Cet_03_noise_ver_000.dat,43.60355548663949
164,AV_Peg_07_noise_ver_000.dat,20.97150822315694
165,VX_Her_26_noise_ver_000.dat,36.697794332234146
166,V_535__06_noise_ver_000.dat,42.53054348661832
167,TW_Lyn_01_noise_ver_000.dat,21.437466783324155
168,AR_Per_01_noise_ver_000.dat,17.953569616827245
